SI:7 Agent,HIGH
SI:7 Agent,MEDIUM
Preparation,HIGH
Preparation,LOW
Backstab,HIGH
Edwin VanCleef,HIGH
Edwin VanCleef,MEDIUM
Raiding Party,HIGH
EVIL Miscreant,HIGH
Waggle Pick,HIGH
Leeroy Jenkins,HIGH
Leeroy Jenkins,MEDIUM
Dread Corsair,HIGH
Eviscerate,HIGH
Eviscerate,MEDIUM
Preparation,SI:7 Agent,HIGH
Backstab,SI:7 Agent,HIGH
Edwin VanCleef,SI:7 Agent,HIGH
Raiding Party,SI:7 Agent,HIGH
EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,SI:7 Agent,HIGH
Leeroy Jenkins,SI:7 Agent,HIGH
Dread Corsair,SI:7 Agent,HIGH
Eviscerate,SI:7 Agent,HIGH
Backstab,Preparation,HIGH
Edwin VanCleef,Preparation,HIGH
Preparation,Raiding Party,HIGH
EVIL Miscreant,Preparation,HIGH
Waggle Pick,Preparation,HIGH
Leeroy Jenkins,Preparation,HIGH
Preparation,Dread Corsair,HIGH
Eviscerate,Preparation,HIGH
Eviscerate,Preparation,MEDIUM
Edwin VanCleef,Backstab,HIGH
Edwin VanCleef,Backstab,MEDIUM
Backstab,Raiding Party,HIGH
EVIL Miscreant,Backstab,HIGH
Waggle Pick,Backstab,HIGH
Backstab,Leeroy Jenkins,HIGH
Backstab,Dread Corsair,HIGH
Backstab,Eviscerate,HIGH
Backstab,Eviscerate,MEDIUM
Edwin VanCleef,Raiding Party,HIGH
Edwin VanCleef,EVIL Miscreant,HIGH
Edwin VanCleef,Waggle Pick,HIGH
Edwin VanCleef,Leeroy Jenkins,HIGH
Edwin VanCleef,Dread Corsair,HIGH
Edwin VanCleef,Eviscerate,HIGH
Edwin VanCleef,Eviscerate,MEDIUM
EVIL Miscreant,Raiding Party,HIGH
Waggle Pick,Raiding Party,HIGH
Leeroy Jenkins,Raiding Party,HIGH
Dread Corsair,Raiding Party,HIGH
Eviscerate,Raiding Party,HIGH
Waggle Pick,EVIL Miscreant,HIGH
EVIL Miscreant,Leeroy Jenkins,HIGH
EVIL Miscreant,Dread Corsair,HIGH
EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Leeroy Jenkins,HIGH
Waggle Pick,Dread Corsair,HIGH
Waggle Pick,Eviscerate,HIGH
Leeroy Jenkins,Dread Corsair,HIGH
Leeroy Jenkins,Eviscerate,HIGH
Eviscerate,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Preparation,Eviscerate,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Preparation,Eviscerate,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Preparation,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Raiding Party,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Preparation,Eviscerate,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,HIGH
Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Eviscerate,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,HIGH
Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Eviscerate,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Dread Corsair,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Dread Corsair,EVIL Miscreant,Eviscerate,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Edwin VanCleef,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Backstab,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Backstab,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Backstab,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Raiding Party,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Edwin VanCleef,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Edwin VanCleef,Preparation,Dread Corsair,Eviscerate,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,SI:7 Agent,HIGH
Leeroy Jenkins,Waggle Pick,Raiding Party,Preparation,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
Waggle Pick,Raiding Party,Preparation,Dread Corsair,EVIL Miscreant,Eviscerate,SI:7 Agent,HIGH
